Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-88.23001	-119.3971	31.16705	0.00793402	0.0150717	0.0158025	0.00113201	0.0304303	0.0129308	0.00781048	0.109166	0.00798623	0.021069	0.0382803	0.00665994	0.0147201	0.0378759	0.0345517	0.141137	0.00743929	0.0354209	0.0696366	0.00907956	0.0101462	0.0258477	0.0611907	0.00128282	0.0065741	0.090782	0.0112993	0.026734	0.019054	0.4762548	1.523745	0.674144	0.825054	0.941768	1.06183	1.21204	1.48336	0.285114	3.199432	0.0090463	0.0171846	0.0180179	0.00129071	0.0346963	0.0147436	0.00890545	0.124471	0.00910583	0.0240227	0.0436469	0.00759361	0.0167838	0.0431857	0.0393955	0.160923	0.00848222	0.0403866	0.079399	0.0103524	0.0115686	0.0294714	0.0697692	0.00146266	0.00749574	0.103509	0.0128833	0.0304819	0.0217252	0.761873	0.238127	0.8770455
36	-89.24337	-119.8587	30.61532	0.00506037	0.0116685	0.0181497	0.000830071	0.0103879	0.00112343	0.0685859	0.0352246	0.00716022	0.0292498	0.0361513	0.027254	0.0399823	0.0192717	0.091259	0.165143	0.0331654	0.00218119	0.0794958	0.0354267	0.0228521	0.0550376	0.0367279	0.0127959	0.0188865	0.0511909	0.00329212	0.0517679	0.0100997	0.3849411	1.615059	0.588429	0.77211	0.922482	1.08403	1.29515	1.69944	0.3834432	4.1956	0.00516669	0.0119137	0.018531	0.000847511	0.0106062	0.00114703	0.0700269	0.0359648	0.00731066	0.0298643	0.0369108	0.0278266	0.0408224	0.0196766	0.0931765	0.168613	0.0338622	0.00222702	0.0811661	0.036171	0.0233323	0.0561939	0.0374996	0.0130648	0.0192833	0.0522664	0.00336129	0.0528556	0.0103119	0.807529	0.192471	0.9794214
72	-92.47205	-122.0955	29.62347	0.00961136	0.017577	0.00286165	0.0111628	0.000486407	0.000959423	0.00516827	0.0424158	0.0021769	0.0217053	0.0234987	0.0155015	0.0410085	0.0142417	0.031442	0.0781829	0.0208493	0.000330095	0.00196767	0.0477159	0.0475664	0.00254541	0.000768848	0.0417772	0.00757943	0.0020522	0.026334	0.0302741	0.00621184	0.2114901	1.78851	0.411118	0.648232	0.873501	1.14482	1.54266	2.43239	0.6427181	8.456708	0.0173499	0.031729	0.00516569	0.0201505	0.000878035	0.0017319	0.00932947	0.0765666	0.00392962	0.0391812	0.0424186	0.0279824	0.0740262	0.0257082	0.0567573	0.141131	0.037636	0.000595868	0.00355193	0.0861341	0.0858642	0.00459483	0.00138788	0.0754139	0.013682	0.00370451	0.0475366	0.0546491	0.0112133	0.894255	0.105745	0.5539726
108	-93.10446	-125.1855	32.08106	0.0485036	0.000794689	0.0342329	0.00661518	0.0742128	0.00148331	0.0333845	0.0633399	0.0197259	0.0307367	0.0419641	0.00945929	0.00878303	0.0447668	0.0150408	0.0607438	0.00853656	0.0156682	0.0123632	0.0212269	0.0297821	0.0105378	0.00887369	0.0625052	0.00122046	0.0135965	0.0257524	0.017145	0.0209487	0.7292692	1.270731	0.745655	0.866636	0.956326	1.04567	1.15389	1.3411	0.2122149	1.742472	0.0653736	0.00107109	0.0461394	0.00891601	0.100025	0.00199922	0.044996	0.0853702	0.0265868	0.0414273	0.0565597	0.0127493	0.0118379	0.0603372	0.0202722	0.0818711	0.0115057	0.0211178	0.0166633	0.0286099	0.0401406	0.0142029	0.0119601	0.0842451	0.00164495	0.0183256	0.0347093	0.0231083	0.0282349	0.635365	0.364635	0.741944
144	-97.17539	-128.9618	31.78644	0.00484652	0.0189366	0.0841749	0.0159764	0.0481718	0.0115783	0.029053	0.0308396	0.013418	0.0588084	0.00545678	0.0217161	0.0388857	0.0616801	0.185298	0.175769	0.036856	0.00467568	0.00222132	0.0501784	0.0221296	0.0749705	0.00975317	0.0734693	0.0742046	0.105078	0.030919	0.0357587	0.00467191	0.8162361	1.183764	0.847273	0.922352	0.975098	1.02554	1.08418	1.18026	0.1198357	1.450271	0.00364538	0.0142435	0.0633135	0.0120169	0.0362331	0.00870877	0.0218527	0.0231965	0.0100925	0.0442336	0.0041044	0.0163341	0.0292485	0.0463936	0.139375	0.132207	0.0277218	0.00351688	0.0016708	0.0377424	0.0166451	0.0563902	0.007336	0.0552611	0.0558141	0.079036	0.0232562	0.0268965	0.00351405	0.591882	0.408118	1.329495
180	-99.64743	-131.2321	31.58463	0.00664581	0.0159191	0.0155617	0.00871083	0.0548749	0.0334111	0.00994226	0.0094454	0.0151016	0.0045412	0.0460721	0.00744492	0.00223496	0.0316113	0.00583322	0.0367184	0.0489838	0.00420088	0.06168	0.0160255	0.00598452	0.00652987	0.00239846	0.0210411	0.00819865	0.0693916	0.00669883	0.00427023	0.0014862	0.6411827	1.358817	0.458864	0.683916	0.888227	1.12584	1.46217	2.17929	0.563271	2.119236	0.0118472	0.0283784	0.0277413	0.0155285	0.0978235	0.0595608	0.0177237	0.016838	0.0269211	0.00809543	0.082131	0.0132718	0.00398418	0.0563524	0.0103987	0.0654565	0.0873215	0.00748876	0.109955	0.028568	0.0106684	0.0116406	0.00427565	0.0375092	0.0146154	0.123702	0.0119418	0.00761238	0.00264939	0.679409	0.320591	0.5609585
216	-100.9313	-128.5174	27.58617	0.00128758	0.00328235	0.00110465	0.0013034	0.00510652	0.00704259	0.0154792	0.0296326	0.0126708	0.0142423	0.00114706	0.00145364	0.00230539	0.0378462	0.0196261	0.0156761	0.0658833	0.00107116	0.00275931	0.00451717	0.00766595	0.00419265	0.00618164	0.0449328	0.0339214	0.0157423	0.00741443	0.00374258	0.014284	0.1343386	1.865661	0.0763124	0.285127	0.676055	1.47917	3.5072	13.104	1.860398	13.88776	0.00337491	0.00860346	0.00289542	0.00341637	0.0133849	0.0184595	0.0405729	0.0776709	0.0332117	0.037331	0.00300658	0.00381017	0.00604272	0.0991998	0.0514425	0.0410892	0.172689	0.00280764	0.00723251	0.0118401	0.0200934	0.0109895	0.0162029	0.117775	0.0889122	0.0412625	0.0194342	0.00980978	0.0374403	0.932831	0.0671693	0.3815152
252	-89.5559	-119.7798	30.2239	0.0057844	0.0486446	0.00597392	0.00106029	0.0156361	0.00340914	0.140776	0.0811829	0.0485531	0.0426443	0.0238525	0.0332663	0.0403993	0.069227	0.0231382	0.227922	0.0968916	0.0007993	0.0266526	0.0134774	0.0130464	0.0763012	0.0228107	0.0411031	0.00657276	0.0446293	0.0294291	0.0430449	0.0119664	0.2910927	1.708907	0.970992	0.985746	0.995531	1.00449	1.01446	1.02987	0.02128497	5.870663	0.00467164	0.0392867	0.0048247	0.000856315	0.0126281	0.00275332	0.113694	0.0655655	0.0392128	0.0344407	0.0192639	0.0268668	0.0326275	0.0559096	0.0186871	0.184076	0.0782523	0.000645536	0.0215254	0.0108847	0.0105366	0.061623	0.0184225	0.033196	0.00530834	0.0360438	0.0237677	0.0347643	0.00966438	0.854454	0.145546	1.238195
288	-88.08106	-119.353	31.27198	0.00380268	0.0030139	0.026047	0.0232184	0.0168101	0.0115689	0.023584	0.0328876	0.000125629	0.0269686	0.0629519	0.034921	0.0311837	0.0346301	0.115463	0.12853	0.00786445	0.00569454	0.0290722	0.00887321	0.0498566	0.0629566	0.00065951	0.0663344	0.0148677	0.0549537	0.0149617	0.0500077	0.0214152	0.5801667	1.419833	0.545295	0.743968	0.911858	1.09666	1.34414	1.83387	0.4384895	2.447285	0.00394787	0.00312897	0.0270414	0.0241048	0.0174519	0.0120106	0.0244844	0.0341432	0.000130425	0.0279983	0.0653554	0.0362543	0.0323743	0.0359523	0.119872	0.133437	0.00816472	0.00591196	0.0301822	0.00921199	0.0517601	0.0653603	0.00068469	0.068867	0.0154354	0.0570518	0.0155329	0.0519169	0.0222328	0.709917	0.290083	0.9632242
324	-95.05972	-125.4956	30.43591	0.0441992	0.00649192	0.00433005	0.00519787	0.00120008	0.0119594	0.0105124	0.0076806	5.1118e-06	0.0163401	0.0140235	0.0033172	0.00680846	0.0330971	0.0453915	0.079287	0.0243195	0.00660573	0.0117908	0.000484634	0.00667908	0.0145617	0.00331616	0.023546	0.00758947	0.010485	0.00437378	0.00330121	0.00397521	0.4451818	1.554818	0.225733	0.483891	0.797346	1.25416	2.06658	4.43	1.076216	3.492547	0.107575	0.0158005	0.0105388	0.0126509	0.00292084	0.0291076	0.0255857	0.0186935	1.24414e-05	0.0397697	0.0341311	0.0080736	0.0165709	0.0805537	0.110477	0.192974	0.0591903	0.0160774	0.0286972	0.00117953	0.016256	0.0354411	0.00807107	0.0573076	0.0184717	0.0255192	0.0106452	0.00803468	0.0096751	0.777409	0.222591	0.4108696
