Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
360	-93.73811	-123.0301	29.29196	0.00374199	0.0171758	0.00319909	0.0267085	0.0123627	0.0141708	0.0462053	0.0255038	0.00712783	0.0548096	0.0403659	0.0530411	0.0502559	0.0328256	0.0213656	0.180477	0.0217126	0.00273539	0.0360424	0.013212	0.0138191	0.0502029	0.0222722	0.0230482	0.0297485	0.00296613	0.0782631	0.00928148	0.0164769	0.1669166	1.833083	0.616285	0.789725	0.928997	1.07643	1.26626	1.62263	0.3499986	10.98203	0.00411607	0.0188929	0.0035189	0.0293785	0.0135985	0.0155874	0.0508243	0.0280534	0.00784038	0.0602888	0.0444012	0.0583435	0.0552799	0.0361071	0.0235015	0.198519	0.0238831	0.00300883	0.0396455	0.0145328	0.0152006	0.0552216	0.0244987	0.0253523	0.0327224	0.00326264	0.0860869	0.0102093	0.0181241	0.916542	0.0834583	0.9091179
396	-97.2631	-127.3689	30.10576	0.0253241	0.0333554	0.00137092	0.0369011	0.0030038	0.0213372	0.0298222	0.0871807	0.0243846	0.115135	0.0316756	0.00281691	0.0911939	0.00940173	0.044457	0.134917	0.00452605	0.0105442	0.0587478	0.000643063	0.00710316	0.0325035	0.00525082	0.0300946	0.0398175	0.0152276	0.0571262	0.0739062	0.0244962	0.3580924	1.641908	0.381148	0.624739	0.863499	1.15808	1.60067	2.62365	0.6974483	4.585151	0.0240663	0.0316987	0.00130283	0.0350683	0.00285461	0.0202774	0.028341	0.0828506	0.0231735	0.109416	0.0301024	0.002677	0.0866645	0.00893477	0.0422489	0.128216	0.00430126	0.0100205	0.05583	0.000611124	0.00675036	0.0308891	0.00499002	0.0285999	0.0378398	0.0144713	0.0542889	0.0702355	0.0232795	0.820954	0.179046	1.052263
432	-101.1047	-129.2731	28.1684	0.0119426	0.000314736	0.016538	0.0152604	0.0248453	0.0240379	0.129206	0.0551582	0.0145248	0.0459501	0.0367885	0.030937	0.114128	0.00056661	0.0526297	0.262911	0.0456099	0.031215	0.00949718	0.0122245	0.00368469	0.0167786	0.000218891	0.039221	0.0098746	0.0136187	0.0379021	0.0113695	0.0558919	0.1190408	1.880959	0.401995	0.641176	0.870524	1.14873	1.55963	2.48759	0.6589437	15.80097	0.010636	0.000280303	0.0147286	0.0135908	0.0221271	0.021408	0.11507	0.0491236	0.0129357	0.0409229	0.0327637	0.0275523	0.101642	0.000504621	0.0468717	0.234147	0.0406199	0.0277999	0.00845815	0.0108871	0.00328157	0.014943	0.000194943	0.0349301	0.00879427	0.0121288	0.0337554	0.0101256	0.049777	0.94048	0.0595204	1.122845
468	-89.42947	-120.2392	30.80973	0.0142194	0.0115092	0.021468	0.0033684	0.0871395	0.00122399	0.183747	0.121236	0.00212128	0.0350704	0.0569139	0.0250291	0.0156632	0.125591	0.12993	0.13906	0.0401748	0.0100293	0.026518	0.0446374	0.00593511	0.0758927	0.0616073	0.128666	0.0109089	0.052931	0.0510118	0.0814586	0.0100718	0.5706028	1.429397	0.820749	0.908155	0.970391	1.03051	1.10113	1.2184	0.1428337	2.505065	0.00903889	0.00731614	0.0136466	0.00214121	0.0553924	0.000778062	0.116803	0.0770663	0.00134844	0.0222933	0.0361787	0.0159104	0.00995673	0.0798348	0.0825931	0.0883968	0.0255381	0.00637535	0.0168568	0.0283749	0.0037728	0.0482431	0.0391622	0.0817896	0.0069345	0.0336469	0.0324269	0.0517812	0.00640241	0.714699	0.285301	1.573132
504	-94.65779	-123.3546	28.69685	0.00798838	0.00376214	0.0184593	0.00182413	0.00549029	0.0514452	0.0311401	0.0573638	0.00534233	0.036058	0.0373402	0.00261609	0.147103	0.0151158	0.0137064	0.10598	0.0262653	0.000607014	0.0392647	0.0195935	0.0159112	0.0104397	0.0271665	0.00925795	0.0104531	0.0347383	0.00721961	0.0122639	0.0249312	0.152658	1.847342	0.290173	0.546936	0.828402	1.20714	1.82837	3.44622	0.8946362	12.10118	0.0102567	0.0048304	0.0237008	0.00234209	0.00704925	0.066053	0.0399823	0.0736522	0.00685928	0.0462966	0.0479429	0.00335892	0.188873	0.019408	0.0175983	0.136073	0.0337233	0.000779375	0.0504139	0.025157	0.0204291	0.013404	0.0348804	0.0118867	0.0134213	0.0446021	0.0092696	0.0157462	0.0320104	0.923671	0.076329	0.7788474
540	-98.08136	-129.322	31.24067	0.0060319	0.0195062	0.0530362	0.0107816	0.0379536	0.00310641	0.10453	0.129308	0.0407059	0.0488156	0.0374808	0.00883087	0.0671262	0.0464533	0.0217483	0.168239	0.0449318	0.0103327	0.0665319	0.0395359	0.0169094	0.00530076	0.0119543	0.121553	0.0309422	0.0765501	0.0380197	0.0204807	0.00750528	0.7011846	1.298815	0.548405	0.746035	0.912648	1.09571	1.34042	1.82347	0.4343767	1.852316	0.00466072	0.015072	0.0409799	0.00833073	0.0293259	0.00240026	0.0807676	0.0999137	0.0314525	0.0377187	0.0289606	0.00682341	0.0518669	0.0358935	0.0168044	0.129994	0.0347178	0.00798388	0.0514077	0.0305485	0.0130655	0.00409578	0.00923684	0.0939209	0.0239083	0.0591485	0.0293769	0.015825	0.00579916	0.649408	0.350592	1.294201
576	-93.35846	-124.8452	31.48675	0.0203035	0.0232422	0.00539174	0.00405622	0.0208713	0.0107638	0.0412408	0.0635818	0.0622457	0.089587	0.0182809	0.00101428	0.0361414	0.136482	0.0162965	0.274646	0.0276548	0.00897465	0.00550516	0.08344	0.00665556	0.00837013	0.0462503	0.0618238	0.0269379	0.0452924	0.00599326	0.0572572	0.0103053	0.7072463	1.292754	0.665347	0.819785	0.939888	1.06396	1.21983	1.50298	0.2946125	1.827869	0.0166613	0.0190728	0.00442452	0.00332858	0.0171272	0.00883291	0.0338426	0.0521759	0.0510794	0.073516	0.0150015	0.000832326	0.029658	0.111999	0.0133731	0.225377	0.0226938	0.00736469	0.00451759	0.0684717	0.00546162	0.00686861	0.0379535	0.0507332	0.0221055	0.0371674	0.00491813	0.0469858	0.00845664	0.646377	0.353623	1.218606
612	-87.69767	-118.2412	30.5435	0.00886762	0.00550206	0.00401561	0.0116122	0.00551166	0.00125303	0.0330546	0.0205032	0.00526089	0.00516078	0.00800875	0.017416	0.0308055	0.0328243	0.0161944	0.0648875	0.00391847	0.00147886	0.00981426	0.0165972	0.00526487	0.00841819	0.00906345	0.0179935	0.00276377	0.00200776	0.00314852	0.00270367	0.00435899	0.4769405	1.52306	0.232939	0.491363	0.801167	1.24818	2.03515	4.29297	1.053495	3.193395	0.0247416	0.0153513	0.011204	0.0323992	0.0153781	0.00349609	0.0922257	0.057206	0.0146784	0.0143991	0.0223452	0.0485925	0.0859507	0.0915832	0.0451842	0.181043	0.010933	0.00412618	0.0273828	0.0463078	0.0146895	0.0234876	0.025288	0.0502038	0.00771121	0.00560186	0.0087847	0.00754351	0.012162	0.76153	0.23847	0.3584096
648	-90.64588	-120.6802	30.03431	0.00955136	0.00887605	0.00185399	0.0272604	0.000575066	0.000729844	0.0419449	0.159203	0.000743164	0.0516856	0.0154941	0.0360148	0.136828	0.0447618	0.0352116	0.296648	0.00210507	0.0324203	0.0409289	0.0504808	0.0150411	0.0231769	0.052892	0.026004	0.01088	1.46095e-06	0.000214524	0.0410466	0.00511501	0.3256972	1.674303	0.513024	0.72216	0.903434	1.10689	1.38473	1.94923	0.4825999	5.140673	0.00817971	0.00760138	0.00158775	0.0233456	0.000492482	0.000625033	0.0359213	0.13634	0.00063644	0.0442632	0.013269	0.0308428	0.117178	0.0383337	0.030155	0.254048	0.00180276	0.0277645	0.0350512	0.0432314	0.0128811	0.0198485	0.0452963	0.0222697	0.00931757	1.25115e-06	0.000183717	0.0351521	0.00438045	0.837151	0.162849	1.167689
684	-90.90983	-120.5462	29.63636	0.046522	0.00443054	0.00411343	0.0108738	0.040101	0.00101969	0.0179335	0.117531	0.0121664	0.00552455	0.0141273	0.0082556	0.0427668	0.00880328	0.0442873	0.109819	0.00943591	0.0183016	0.0168134	0.123874	0.00780718	0.0165948	0.0213507	0.0367324	0.0553259	1.07104e-05	0.00613342	0.0118363	0.000941182	0.1798448	1.820155	0.742246	0.864701	0.95566	1.0464	1.15647	1.34726	0.2155287	10.1207	0.0571922	0.00544672	0.00505687	0.0133678	0.0492985	0.00125357	0.0220467	0.144488	0.0149569	0.00679165	0.0173676	0.0101491	0.0525757	0.0108224	0.0544449	0.135007	0.0116001	0.0224992	0.0206697	0.152285	0.00959781	0.020401	0.0262477	0.0451573	0.0680153	1.31669e-05	0.00754017	0.014551	0.00115705	0.910078	0.0899224	0.8134328
720	-89.43001	-120.016	30.58603	0.00481013	0.0124074	0.00060487	0.0193286	0.0107829	0.0485341	0.0930186	0.0130164	0.0129442	0.0372986	0.00248835	0.0039019	0.0305787	0.0321985	0.079451	0.124891	0.00725193	0.0189215	0.00745277	0.0176048	0.0104665	0.00765305	0.00805156	0.0374369	0.0109932	0.0931718	0.0875257	0.0264439	0.0337625	0.4516169	1.548383	0.348406	0.597963	0.851778	1.17401	1.67235	2.87021	0.7623942	3.428532	0.00538654	0.0138942	0.000677353	0.0216448	0.0120751	0.0543501	0.104165	0.0145761	0.0144953	0.0417682	0.00278653	0.00436947	0.034243	0.036057	0.0889718	0.139857	0.00812095	0.0211889	0.00834585	0.0197144	0.0117207	0.00857013	0.00901639	0.041923	0.0123106	0.104337	0.0980141	0.0296127	0.0378083	0.774192	0.225808	0.8929909
756	-86.45769	-118.0096	31.55186	0.026646	0.00339461	0.00570622	0.0106636	0.00226866	0.0111262	0.0240646	0.0612972	0.0231231	0.0310111	0.0371326	0.0010961	0.0538482	0.0547061	0.0237476	0.12844	0.00813964	0.0113648	0.0265641	0.0121371	0.00903956	0.00841668	0.00492169	0.012005	0.0267342	0.0201042	0.00713247	0.099463	0.0882763	0.6137953	1.386205	0.598126	0.778289	0.924779	1.08134	1.28487	1.67189	0.3716245	2.258416	0.0320045	0.00407727	0.00685374	0.0128081	0.00272488	0.0133637	0.028904	0.0736241	0.0277732	0.0372474	0.0445999	0.00131653	0.064677	0.0657074	0.0285233	0.154269	0.00977652	0.0136502	0.0319062	0.0145778	0.0108574	0.0101093	0.00591144	0.0144192	0.0321104	0.0241472	0.00856681	0.119465	0.106029	0.693102	0.306898	0.8325702
792	-97.23194	-129.2675	32.03555	0.0145106	0.0145345	0.0190104	0.00596613	0.0274475	0.000968535	0.0121525	0.0416997	0.0615773	0.0661438	0.0165293	0.0120926	0.00731933	0.0185916	0.0606457	0.0437045	0.023785	0.0414125	0.0502966	0.0291257	0.00160162	0.00483117	0.0307516	0.0110568	0.0140417	0.0323183	0.02619	0.0122753	0.0110624	0.7639414	1.236059	0.607531	0.784234	0.926977	1.07878	1.27513	1.64601	0.3603426	1.618002	0.0203903	0.0204239	0.0267134	0.0083836	0.0385692	0.00136099	0.0170767	0.0585965	0.0865284	0.0929452	0.023227	0.0169925	0.0102851	0.026125	0.0852194	0.0614135	0.0334227	0.0581929	0.0706767	0.0409274	0.00225059	0.00678876	0.0432121	0.015537	0.0197313	0.0454136	0.0368021	0.0172492	0.0155449	0.618029	0.381971	0.7116427
828	-90.36363	-120.6833	30.31972	0.00929835	0.0178896	0.000821957	0.0144932	0.0292899	0.00160586	0.0272462	0.048221	0.0113531	0.0151501	0.130499	0.033726	0.0140909	0.0354688	0.0116757	0.192365	0.0239944	0.0181244	0.0299665	0.0362168	0.0123152	0.000487723	0.00592132	0.0409129	0.0441483	0.00998433	0.011302	0.0271364	0.0285443	0.407529	1.592471	0.30237	0.55803	0.833608	1.19961	1.79202	3.30721	0.8648662	3.907626	0.0105394	0.0202773	0.00093166	0.0164275	0.0331992	0.00182018	0.0308826	0.0546569	0.0128684	0.0171722	0.147916	0.0382272	0.0159716	0.0402026	0.013234	0.218039	0.0271968	0.0205434	0.033966	0.0410506	0.0139588	0.000552817	0.00671162	0.0463734	0.0500407	0.0113169	0.0128104	0.0307582	0.032354	0.796235	0.203765	0.8822494
864	-100.6256	-130.8046	30.179	0.00766659	0.00996214	0.00453156	0.0139286	0.0124049	0.00394405	0.0244678	0.0348964	0.00579116	0.0224838	0.0448798	0.004834	0.00333851	0.0475174	0.00703252	0.0283095	0.0290372	0.00520899	0.00609466	0.00353488	0.011438	0.00170707	0.00152412	0.00907057	0.00109091	0.00460229	0.00296717	0.0196192	0.000443271	0.246482	1.753518	0.647265	0.808843	0.935956	1.06843	1.23633	1.54496	0.314535	7.114181	0.020591	0.0267564	0.0121709	0.0374097	0.0333171	0.010593	0.0657158	0.093725	0.015554	0.0603873	0.120539	0.0129832	0.00896661	0.127623	0.018888	0.0760341	0.0779884	0.0139904	0.0163691	0.00949401	0.0307204	0.00458486	0.0040935	0.0243618	0.00292998	0.0123609	0.00796926	0.0526934	0.00119054	0.876759	0.123241	0.3723271
900	-97.17938	-126.9927	29.8133	0.0178477	0.00508129	0.00799709	0.0071091	0.000947627	0.00921954	0.0323852	0.0513978	0.00590589	0.0042399	0.0153383	0.0188556	0.0345007	0.00959329	0.0264859	0.0282466	0.0254703	0.0287005	0.0219448	0.0018664	0.0126676	0.0232827	0.00357921	0.00862139	0.00327627	0.0105077	0.0152327	0.0120705	0.000928874	0.343967	1.656033	0.17131	0.422974	0.764569	1.30793	2.36421	5.83737	1.275696	4.814511	0.0402609	0.0114624	0.0180399	0.0160368	0.00213766	0.0207975	0.0730547	0.115943	0.0133225	0.00956439	0.0346002	0.0425346	0.0778269	0.0216406	0.0597471	0.063719	0.0574561	0.0647429	0.0495031	0.00421023	0.0285756	0.0525212	0.008074	0.0194482	0.00739062	0.0237034	0.034362	0.0272287	0.00209536	0.828017	0.171983	0.4433005
936	-94.10556	-123.6653	29.55977	0.00805967	0.00770338	0.00261801	0.00399721	0.0356942	0.0191201	0.0614207	0.0203893	0.0144679	0.0129975	0.0192712	0.0136441	0.0306933	0.149938	0.0757172	0.184847	0.0214106	0.0120966	0.0503538	0.00264504	0.0320552	0.0226866	0.00698524	0.0313819	0.00775079	0.0214223	0.0111564	0.0432615	0.00101748	0.2500236	1.749976	0.348175	0.597769	0.851692	1.17413	1.67289	2.87212	0.7628732	6.999246	0.00871503	0.00832976	0.00283088	0.00432224	0.0385966	0.0206748	0.066415	0.0220473	0.0156443	0.0140543	0.0208382	0.0147536	0.0331891	0.162129	0.081874	0.199877	0.0231516	0.0130802	0.0544483	0.00286012	0.0346617	0.0245314	0.00755323	0.0339337	0.00838103	0.0231642	0.0120635	0.0467792	0.00110021	0.874988	0.125012	0.9248017
972	-94.13835	-126.2341	32.09579	0.0141122	0.00232445	0.000951958	0.00122092	0.0104891	0.00339657	0.0270664	0.0370393	0.0264535	0.0837978	0.00958069	0.0368292	0.00134808	0.0382886	0.0543303	0.0337276	0.0791825	0.0201974	0.002773	0.00609161	0.0290344	0.0219988	0.0163312	0.0185112	0.00494216	0.0230198	0.0689068	0.017857	0.00149041	0.9306787	1.069321	0.39011	0.63186	0.866557	1.15399	1.58263	2.56338	0.6806442	1.148969	0.0204142	0.00336247	0.00137707	0.00176614	0.0151732	0.00491335	0.0391533	0.0535797	0.0382667	0.121219	0.0138591	0.0532758	0.00195009	0.055387	0.0785923	0.0487891	0.114543	0.0292168	0.00401132	0.00881191	0.0420001	0.0318228	0.0236242	0.0267777	0.00714915	0.0332996	0.0996782	0.0258313	0.00215598	0.534661	0.465339	0.6912929
1008	-91.87661	-123.2789	31.40224	0.0274663	0.00679421	0.00486681	0.00104567	0.0261651	0.000919219	0.0484352	0.0401988	0.00926485	0.00992358	0.00214437	0.0324372	0.0025978	0.0455734	0.0336491	0.057656	0.0416469	0.00901154	0.0433042	0.0072762	0.00371533	0.00587914	0.00603321	0.0144999	0.0127215	0.00970595	0.030896	0.025216	0.00559174	0.4470872	1.552913	0.838373	0.917614	0.973533	1.02719	1.08978	1.19279	0.1274715	3.473401	0.0486443	0.0120329	0.00861938	0.00185194	0.0463398	0.00162799	0.0857814	0.0711943	0.0164086	0.0175752	0.00379779	0.057448	0.00460085	0.080713	0.0595944	0.102112	0.0737589	0.0159599	0.0766942	0.0128865	0.00658005	0.0104123	0.0106851	0.0256802	0.0225305	0.0171898	0.0547185	0.0446589	0.00990328	0.776456	0.223544	0.5646353
