Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-91.74592	-123.8502	32.10433	0.042698	0.00101014	0.0574282	0.0289722	0.0496794	0.00760465	0.0377687	0.0625929	0.0302225	0.0548186	0.0215468	0.0115301	0.018684	0.019411	0.102619	0.232214	0.046059	0.121056	0.120871	0.186804	0.00248873	0.0661732	0.0405982	0.0538472	0.0237583	0.00706132	0.0487646	0.0631035	0.0179918	1.137718	0.8622815	0.831107	0.913727	0.972244	1.02855	1.09442	1.20322	0.1337658	0.7579041	0.027069	0.000640393	0.0364074	0.0183673	0.031495	0.00482107	0.023944	0.0396817	0.01916	0.034753	0.0136599	0.00730968	0.011845	0.0123058	0.0650565	0.147215	0.0291997	0.0767452	0.0766276	0.118427	0.00157777	0.0419514	0.0257378	0.0341372	0.0150619	0.00447662	0.030915	0.0400053	0.0114062	0.431141	0.568859	1.577376
36	-94.51836	-125.6317	31.11335	0.0116904	0.0319971	0.0154044	0.00174626	0.0116555	0.0250096	0.0607302	0.0553281	0.0072889	0.0240769	0.0165736	0.0234898	0.0346828	0.072182	0.0126707	0.0453269	0.00909562	0.0043617	0.00820304	0.00521964	0.0986901	0.0138638	0.00187885	0.0305969	0.00390547	0.0309942	0.041376	0.103499	0.00522399	0.4692203	1.53078	0.598929	0.778799	0.924968	1.08112	1.28403	1.66965	0.3706535	3.26239	0.0144905	0.0396613	0.0190941	0.00216453	0.0144473	0.031	0.0752765	0.0685805	0.00903477	0.0298439	0.0205434	0.0291162	0.0429902	0.0894713	0.0157057	0.0561838	0.0112742	0.00540644	0.0101679	0.00646987	0.122329	0.0171845	0.00232888	0.0379255	0.00484093	0.0384181	0.0512865	0.128289	0.00647526	0.76539	0.23461	0.806761
72	-91.43397	-122.4056	30.97165	0.01115	0.0350981	0.0377873	0.0336672	0.0142965	0.00017485	0.0313101	0.095556	0.00539728	0.00816555	0.0910402	0.0249761	0.058863	0.0541049	0.0520962	0.187442	0.00607151	0.0878368	0.0814183	0.168011	0.048128	0.00845789	0.0111446	0.0624048	0.0100195	0.0274581	0.042124	0.0273449	0.0142025	0.6870186	1.312981	0.426769	0.660152	0.878481	1.13833	1.5148	2.34319	0.6157022	1.911129	0.00834738	0.026276	0.0282893	0.0252048	0.010703	0.0001309	0.0234401	0.0715375	0.00404065	0.0061131	0.0681568	0.0186982	0.0440675	0.0405054	0.0390016	0.140327	0.00454541	0.0657586	0.0609534	0.12578	0.0360308	0.00633196	0.00834338	0.0467191	0.00750103	0.0205563	0.0315359	0.0204716	0.0106326	0.656491	0.343509	1.335746
108	-94.24392	-124.2744	30.0305	0.0196661	0.0157892	0.00993325	0.0553436	0.00849182	0.0132022	0.06579	0.00421532	0.0125102	0.0245937	0.0618701	0.032715	0.00654139	0.033033	0.0168042	0.194413	0.0262825	0.01947	0.0216273	0.00196467	0.042307	0.0106547	0.00444094	0.0173132	0.00507206	0.0189418	0.0166207	0.0251457	0.0544401	0.2536187	1.746381	0.58274	0.768461	0.92112	1.08564	1.3013	1.71603	0.390467	6.885854	0.0234345	0.0188147	0.0118367	0.0659487	0.010119	0.0157321	0.0783967	0.00502307	0.0149074	0.0293064	0.0737258	0.0389838	0.00779486	0.0393628	0.0200243	0.231667	0.0313188	0.0232008	0.0257716	0.00234114	0.0504139	0.0126963	0.00529192	0.0206308	0.00604398	0.0225715	0.0198056	0.0299642	0.064872	0.873191	0.126809	0.8391926
144	-94.79919	-126.4607	31.66151	0.051518	0.00630938	0.0533366	0.0305607	0.0419776	0.00313023	0.0136472	0.0345902	0.0394486	0.0211853	0.0440558	0.00244981	0.0247715	0.0591157	0.0461394	0.127106	0.0396316	0.00529546	0.0648666	0.0245647	0.0989641	0.00406332	0.0250315	0.00548096	0.056302	0.0947328	0.0288375	0.0208613	0.00804656	0.6300957	1.369904	0.89874	0.949265	0.983887	1.01638	1.05345	1.11267	0.0771958	2.174121	0.0478783	0.00586362	0.0495684	0.0284016	0.0390119	0.00290908	0.0126831	0.0321464	0.0366616	0.0196886	0.0409433	0.00227673	0.0230215	0.0549393	0.0428797	0.118126	0.0368316	0.00492134	0.0602838	0.0228292	0.0919724	0.00377625	0.0232631	0.00509373	0.0523243	0.08804	0.0268002	0.0193875	0.00747808	0.684952	0.315048	1.07602
180	-98.09755	-128.5703	30.47276	0.0171928	0.023576	0.0213203	0.0219608	0.0296917	0.00191869	0.012685	0.0119074	0.00664134	0.00620275	0.0259207	0.0212645	0.0103221	0.0160272	0.042954	0.0185856	0.0245291	0.0387844	0.00802348	0.0209615	0.0104367	0.003203	0.0155237	0.0413932	0.00619347	0.0159816	0.0367659	0.028518	0.00226484	0.4838672	1.516133	0.191465	0.446553	0.777619	1.28598	2.23938	5.2229	1.195271	3.133366	0.0317945	0.0435988	0.0394273	0.0406117	0.0549084	0.00354821	0.0234581	0.0220202	0.0122817	0.0114706	0.0479348	0.039324	0.0190885	0.0296389	0.0794341	0.0343701	0.0453613	0.0717233	0.0148377	0.0387638	0.0193004	0.00592325	0.0287077	0.0765478	0.0114535	0.0295544	0.0679907	0.0527378	0.00418834	0.758066	0.241934	0.5407497
216	-86.0834	-117.3183	31.23489	0.0262284	0.00395643	0.0388752	0.0142854	0.0103746	0.0019563	0.0178498	0.0796622	0.0156387	0.00969719	0.0193723	0.0153868	0.0819829	0.00768092	0.0743638	0.1776	0.0333686	0.0506049	0.0492575	0.00710976	0.00130719	0.0069241	0.0329332	0.00132305	0.00593334	0.0284581	0.0185928	0.0565672	0.00623882	0.5330373	1.466963	0.5795	0.766373	0.920338	1.08656	1.30485	1.72563	0.3944992	2.752083	0.0293537	0.00442787	0.0435074	0.0159877	0.0116108	0.00218941	0.0199767	0.0891546	0.0175022	0.0108527	0.0216807	0.0172202	0.0917517	0.00859616	0.0832248	0.198762	0.0373447	0.0566349	0.0551269	0.00795694	0.00146295	0.00774916	0.0368574	0.0014807	0.00664034	0.0318491	0.0208083	0.0633076	0.00698222	0.733481	0.266519	0.8935295
252	-96.3807	-125.2082	28.82749	0.00181178	0.000403612	0.0053055	0.00282608	0.00892007	0.00948257	0.0114196	0.0268041	0.0106526	0.0171436	0.00189325	0.00822807	0.0191632	0.017643	0.0336415	0.0476399	0.00517101	0.00693551	0.0136941	0.0167299	0.00556333	0.00137776	0.000978595	0.00789878	0.00443108	0.00768306	0.0264541	0.0270845	0.0122966	0.1968941	1.803106	0.172158	0.423994	0.765144	1.30694	2.35852	5.80861	1.272125	9.157743	0.00504287	0.0011234	0.0147672	0.00786602	0.0248279	0.0263935	0.0317849	0.0746056	0.02965	0.0477171	0.00526962	0.0229018	0.0533384	0.0491071	0.0936367	0.132599	0.0143928	0.0193041	0.0381157	0.0465656	0.0154848	0.00383482	0.00272379	0.0219852	0.0123333	0.0213848	0.0736315	0.0753861	0.0342259	0.901553	0.0984471	0.3592766
288	-89.08503	-119.2316	30.14657	0.0178993	0.0292585	0.0126564	0.0125673	0.0175184	0.0409807	0.0360198	0.0364351	0.00200224	0.0246875	0.042137	0.0406826	0.0336253	0.138691	0.109876	0.243279	0.00246336	0.00778065	0.0351195	0.104084	0.0379952	0.0404553	0.0381043	0.0827841	0.0127106	0.0122475	0.0638792	0.000660107	0.0123917	0.3598863	1.640114	0.579494	0.766369	0.920337	1.08656	1.30485	1.72564	0.394507	4.557311	0.0138863	0.0226988	0.0098188	0.0097497	0.0135907	0.0317928	0.0279442	0.0282664	0.00155334	0.0191526	0.0326899	0.0315615	0.0260865	0.107597	0.0852418	0.188736	0.00191107	0.00603623	0.0272457	0.0807484	0.0294767	0.0313852	0.0295613	0.0642239	0.00986088	0.00950163	0.0495575	0.000512111	0.00961347	0.820057	0.179943	1.288992
324	-95.84821	-126.4363	30.58814	0.00820028	0.0231298	0.0269916	5.19719e-05	0.00030111	0.0492013	0.0693552	0.0991085	0.00480497	0.0250338	0.00403951	0.0165636	0.0277026	0.00119929	0.0664569	0.105476	0.00351265	0.124838	0.00807188	0.0196969	0.0471196	0.0482709	0.0221232	0.00694316	0.00706556	0.0130824	0.0220467	0.0323148	0.000697139	0.3585266	1.641473	0.591303	0.773947	0.923166	1.08323	1.29208	1.69118	0.3799194	4.578387	0.00928263	0.0261827	0.0305543	5.88317e-05	0.000340854	0.0556954	0.0785094	0.11219	0.00543917	0.028338	0.00457268	0.0187498	0.0313591	0.00135758	0.0752285	0.119398	0.00397629	0.141316	0.00913729	0.0222967	0.0533389	0.0546421	0.0250432	0.00785959	0.00799814	0.0148092	0.0249567	0.0365801	0.000789154	0.820737	0.179263	0.8833998
